lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.01, 0.01, 0.01, 0.01]",0,False,,,1,f70f8f0796a4457db1f690e31f89bad3,2020-10-21_08-15-22,1603268122,233.90560722351074,233.90560722351074,68925,d83e38022e39,192.168.99.4,233.90560722351074,0,1,00004,"4_net=MultilevelNet,norm_layer=batchnorm,seed=0",5404,2.2098987102508545,150,9.155505418777466,300.0,0.0008360855467617512,0.00011293763023180266,0.02324188662072023,0.008092114068567753,0.010627211780697827,0.0008360855467617512,0.00011293763023180266,0.02324188662072023,0.008092114068567753,0,0,0,0,231.69476795196533,2000,231.69476795196533,2000.0,2.6727085862159727,1.0368405781686305,1.2851907648444176,0.6670810541510582,1.0182536904763126,2.6727085862159727,1.0368405781686305,1.2851907648444176,0.6670810541510582,0,0,0,0,6.945606708526611,150,6.945606708526611,150.0,4.941284580230713,0.4957098191976547,2.1175096066792807,0.6983817315101624,0.7040666297998043
"[0.01, 0.01, 0.01, 0.01]",1,False,,,2,f70f8f0796a4457db1f690e31f89bad3,2020-10-21_08-19-12,1603268352,229.51316022872925,463.41876745224,68925,d83e38022e39,192.168.99.4,463.41876745224,0,2,00004,"4_net=MultilevelNet,norm_layer=batchnorm,seed=0",5404,2.2473199367523193,150,11.402825355529785,450.0,0.0026548636176933847,0.00037211767960495005,0.046675963376959166,0.01668987716237704,0.019290351982401723,0.0008360855467617512,0.00011293763023180266,0.02324188662072023,0.008092114068567753,1,1,1,1,227.26496291160583,2000,458.95973086357117,4000.0,2.6652359088659288,1.0361042623221874,1.2835000230669975,0.666689444065094,1.017892068110459,2.6652359088659288,1.0361042623221874,1.2835000230669975,0.666689444065094,0,0,0,0,6.945606708526611,150,6.945606708526611,150.0,4.941284580230713,0.4957098191976547,2.1175096066792807,0.6983817315101624,0.7040666297998043
"[0.0025, 0.0025, 0.0025, 0.0025]",2,False,,,3,f70f8f0796a4457db1f690e31f89bad3,2020-10-21_08-23-06,1603268586,234.06876492500305,697.487532377243,68925,d83e38022e39,192.168.99.4,697.487532377243,0,3,00004,"4_net=MultilevelNet,norm_layer=batchnorm,seed=0",5404,2.2028605937957764,150,13.605685949325562,600.0,0.0002574558111761386,3.816564378212206e-05,0.013415526772538822,0.004770455406978727,0.006177834878185242,0.0002574558111761386,3.816564378212206e-05,0.013415526772538822,0.004770455406978727,0,0,0,0,231.8649320602417,2000,690.8246629238129,6000.0,2.6646243810653685,1.0359823638498784,1.2832763072252273,0.6666047551929951,1.0178321884524375,2.6646243810653685,1.0359823638498784,1.2832763072252273,0.6666047551929951,0,0,0,0,6.945606708526611,150,6.945606708526611,150.0,4.941284580230713,0.4957098191976547,2.1175096066792807,0.6983817315101624,0.7040666297998043
"[0.0025, 0.0025, 0.0025, 0.0025]",3,False,,,4,f70f8f0796a4457db1f690e31f89bad3,2020-10-21_08-26-55,1603268815,229.58794593811035,927.0754783153534,68925,d83e38022e39,192.168.99.4,927.0754783153534,0,4,00004,"4_net=MultilevelNet,norm_layer=batchnorm,seed=0",5404,2.2146313190460205,150,15.820317268371582,750.0,0.0003383680807504182,7.871116982035649e-05,0.013355688539644082,0.005314010350654523,0.008871931572118694,0.0002574558111761386,3.816564378212206e-05,0.013355688539644082,0.004770455406978727,1,1,0,1,227.3723394870758,2000,918.1970024108887,8000.0,2.6645218307971956,1.0358474135100841,1.2832887669801711,0.6666265594661236,1.0177658932731457,2.6645218307971956,1.0358474135100841,1.2832763072252273,0.6666047551929951,0,0,1,1,6.945606708526611,150,6.945606708526611,150.0,4.941284580230713,0.4957098191976547,2.1175096066792807,0.6983817315101624,0.7040666297998043
"[0.000625, 0.000625, 0.000625, 0.000625]",4,False,,,5,f70f8f0796a4457db1f690e31f89bad3,2020-10-21_08-30-49,1603269049,234.09466648101807,1161.1701447963715,68925,d83e38022e39,192.168.99.4,1161.1701447963715,0,5,00004,"4_net=MultilevelNet,norm_layer=batchnorm,seed=0",5404,2.2502660751342773,150,18.07058334350586,900.0,0.00021975519087087984,3.8659249354774754e-05,0.012831117572883764,0.004701833675305049,0.006217656258975302,0.00021975519087087984,3.816564378212206e-05,0.012831117572883764,0.004701833675305049,0,2,0,0,231.84354305267334,2000,1150.040545463562,10000.0,2.664453488826752,1.0359176172614097,1.2832629323601723,0.6666685001552105,1.017800381833987,2.664453488826752,1.0358474135100841,1.2832629323601723,0.6666047551929951,0,1,0,2,6.945606708526611,150,6.945606708526611,150.0,4.941284580230713,0.4957098191976547,2.1175096066792807,0.6983817315101624,0.7040666297998043
"[0.000625, 0.000625, 0.000625, 0.000625]",5,False,,,6,f70f8f0796a4457db1f690e31f89bad3,2020-10-21_08-34-39,1603269279,229.56747794151306,1390.7376227378845,68925,d83e38022e39,192.168.99.4,1390.7376227378845,0,6,00004,"4_net=MultilevelNet,norm_layer=batchnorm,seed=0",5404,2.279036045074463,150,20.349619388580322,1050.0,0.00011321050857077353,2.4044394291801532e-05,0.00793406397725145,0.0030407537970071037,0.00490350836562981,0.00011321050857077353,2.4044394291801532e-05,0.00793406397725145,0.0030407537970071037,0,0,0,0,227.28733944892883,2000,1377.3278849124908,12000.0,2.6644937007427214,1.0360319155454636,1.2833254136443137,0.6667252799272537,1.017856529941948,2.664453488826752,1.0358474135100841,1.2832629323601723,0.6666047551929951,1,2,1,3,6.945606708526611,150,6.945606708526611,150.0,4.941284580230713,0.4957098191976547,2.1175096066792807,0.6983817315101624,0.7040666297998043
"[0.00015625, 0.00015625, 0.00015625, 0.00015625]",6,False,,,7,f70f8f0796a4457db1f690e31f89bad3,2020-10-21_08-38-33,1603269513,234.0482907295227,1624.7859134674072,68925,d83e38022e39,192.168.99.4,1624.7859134674072,0,7,00004,"4_net=MultilevelNet,norm_layer=batchnorm,seed=0",5404,2.2115318775177,150,22.561151266098022,1200.0,8.267575695451039e-05,1.0241427159295805e-05,0.00777920779461662,0.002655313255575796,0.0032002229858707977,8.267575695451039e-05,1.0241427159295805e-05,0.00777920779461662,0.002655313255575796,0,0,0,0,231.8359203338623,2000,1609.1638052463531,14000.0,2.664017873287201,1.0359327538609504,1.2831855927705764,0.6666247222423554,1.0178078177440721,2.664017873287201,1.0358474135100841,1.2831855927705764,0.6666047551929951,0,3,0,4,6.945606708526611,150,6.945606708526611,150.0,4.941284580230713,0.4957098191976547,2.1175096066792807,0.6983817315101624,0.7040666297998043
"[0.00015625, 0.00015625, 0.00015625, 0.00015625]",7,False,,,8,f70f8f0796a4457db1f690e31f89bad3,2020-10-21_08-42-23,1603269743,229.6436312198639,1854.4295446872711,68925,d83e38022e39,192.168.99.4,1854.4295446872711,0,8,00004,"4_net=MultilevelNet,norm_layer=batchnorm,seed=0",5404,2.3332533836364746,150,24.894404649734497,1350.0,3.4033704941975884e-05,5.227950274881247e-06,0.004601028704394897,0.0016706769075244664,0.002286471140181141,3.4033704941975884e-05,5.227950274881247e-06,0.004601028704394897,0.0016706769075244664,0,0,0,0,227.3096821308136,2000,1836.4734873771667,16000.0,2.664320311665535,1.0359883379936219,1.283179306268692,0.6665783150494099,1.0178351231872587,2.664017873287201,1.0358474135100841,1.283179306268692,0.6665783150494099,1,4,0,0,6.945606708526611,150,6.945606708526611,150.0,4.941284580230713,0.4957098191976547,2.1175096066792807,0.6983817315101624,0.7040666297998043
"[3.90625e-05, 3.90625e-05, 3.90625e-05, 3.90625e-05]",8,False,,,9,f70f8f0796a4457db1f690e31f89bad3,2020-10-21_08-46-17,1603269977,234.02131700515747,2088.4508616924286,68925,d83e38022e39,192.168.99.4,2088.4508616924286,0,9,00004,"4_net=MultilevelNet,norm_layer=batchnorm,seed=0",5404,2.227019786834717,150,27.121424436569214,1500.0,2.366270829952555e-05,3.498985682502583e-06,0.003909965651109815,0.0013878435672571262,0.0018705575859894244,2.366270829952555e-05,3.498985682502583e-06,0.003909965651109815,0.0013878435672571262,0,0,0,0,231.7935585975647,2000,2068.2670459747314,18000.0,2.664290643811226,1.0359640793204308,1.2831677147746086,0.6666239997148514,1.0178232063184798,2.664017873287201,1.0358474135100841,1.2831677147746086,0.6665783150494099,2,5,0,1,6.945606708526611,150,6.945606708526611,150.0,4.941284580230713,0.4957098191976547,2.1175096066792807,0.6983817315101624,0.7040666297998043
"[3.90625e-05, 3.90625e-05, 3.90625e-05, 3.90625e-05]",9,False,,,10,f70f8f0796a4457db1f690e31f89bad3,2020-10-21_08-50-06,1603270206,229.5691044330597,2318.0199661254883,68925,d83e38022e39,192.168.99.4,2318.0199661254883,0,10,00004,"4_net=MultilevelNet,norm_layer=batchnorm,seed=0",5404,2.2246057987213135,150,29.346030235290527,1650.0,2.1711317652564808e-05,3.1880727707781867e-06,0.003642225906563302,0.0012848282620931664,0.0017855175078330054,2.1711317652564808e-05,3.1880727707781867e-06,0.003642225906563302,0.0012848282620931664,0,0,0,0,227.3437898159027,2000,2295.610835790634,20000.0,2.664065358996391,1.0358996079564096,1.2831302328109742,0.6666518024802208,1.0177915346260302,2.664017873287201,1.0358474135100841,1.2831302328109742,0.6665783150494099,3,6,0,2,6.945606708526611,150,6.945606708526611,150.0,4.941284580230713,0.4957098191976547,2.1175096066792807,0.6983817315101624,0.7040666297998043
